level_2_name,level_3_name
NORD UBANGI,WAPINDA
HAUT KATANGA,LUKAFU
TANGANYIKA,NYUNZU
HAUT KATANGA,TSHAMILEMBA
KWILU,BAGATA
MANIEMA,KINDU
HAUT LOMAMI,BUKAMA
HAUT KATANGA,KAPOLOWE
KONGO CENTRAL,KIMVULA
KWANGO,WAMBA LUADI
LOMAMI,KANDA KANDA
HAUT KATANGA,KAFUBU
SUD UBANGI,BUDJALA
BAS UELE,GANGA
ITURI,MAHAGI
LOMAMI,NGANDAJIKA
NORD KIVU,GOMA
HAUT KATANGA,LUBUMBASHI
MAINDOMBE,INONGO
MANIEMA,PANGI
KASAI CENTRAL,MUTOTO
SANKURU,VANGA KETE
NORD KIVU,BINZA
ITURI,TCHOMIA
SUD UBANGI,GEMENA
TANGANYIKA,ANKORO
KWILU,BULUNGU
BAS UELE,BILI
ITURI,NYARAMBE
TSHOPO,BAFWAGBOGBO
TSHUAPA,DJOLU
KINSHASA,MALUKU 2
KASAI,MUSHENGE
TANGANYIKA,MBULULA
HAUT KATANGA,KISANGA
MONGALA,LISALA
ITURI,KOMANDA
KASAI,ILEBO
MONGALA,PIMU
KWILU,KOSHIBANDA
KASAI ORIENTAL,CILUNDU
MANIEMA,LUBUTU
KASAI CENTRAL,LUKONGA
SANKURU,OMENDJADI
NORD UBANGI,BOSOBOLO
HAUT LOMAMI,BUTUMBA
KINSHASA,MASINA 1
LUALABA,DILOLO
KONGO CENTRAL,KIMPANGU
ITURI,GETY
KONGO CENTRAL,KWILU NGONGO
LUALABA,KALAMBA
KASAI CENTRAL,MASUIKA
ITURI,MANGALA
MANIEMA,KAMPENE
SUD KIVU,KALEHE
KWILU,IPAMU
KINSHASA,KASA VUBU
MONGALA,BOSONDJO
TSHUAPA,MOMPONO
MAINDOMBE,MIMIA
LUALABA,SANDOA
KINSHASA,LINGWALA
KASAI CENTRAL,BILOMBA
NORD KIVU,NYIRAGONGO
KASAI,KITANGWA
KINSHASA,NDJILI
ITURI,MANDIMA
KINSHASA,KIMBANSEKE
MAINDOMBE,NTANDEMBELO
MAINDOMBE,NIOKI
TSHOPO,YAKUSU
TSHOPO,OPIENGE
HAUT LOMAMI,KITENGE
LUALABA,KAFAKUMBA
KINSHASA,POLICE
SUD KIVU,KABARE
NORD UBANGI,BILI
KONGO CENTRAL,NSONA MPANGU
KWANGO,KAHEMBA
BAS UELE,BONDO
TSHOPO,YALEKO
MONGALA,YAMALUKA
NORD KIVU,MASISI
KONGO CENTRAL,KIBUNZI
KWILU,PAY KONGILA
TSHUAPA,WEMA
KASAI,KAMONIA
SUD KIVU,KIMBI LULENGE
ITURI,NIZI
NORD KIVU,MANGUREDJIPA
LUALABA,MANIKA
LOMAMI,MULUMBA
HAUT LOMAMI,MALEMBA NKULU
SUD UBANGI,NDAGE
MANIEMA,SAMBA
MAINDOMBE,YUMBI
KINSHASA,KINGASANI
TSHOPO,BANALIA
KASAI ORIENTAL,TSHILENGE
KASAI CENTRAL,BENA LEKA
KWILU,MOKALA
SANKURU,TSHUDI LOTO
SUD KIVU,NYANGEZI
KWANGO,MWELA LEMBWA
ITURI,FATAKI
LOMAMI,LUBAO
EQUATEUR,DJOMBO
KINSHASA,KIKIMI
EQUATEUR,BOLOMBA
NORD KIVU,BAMBO
KASAI,KANZALA
SUD KIVU,UVIRA
KASAI CENTRAL,TSHIKAJI
EQUATEUR,IREBU
LOMAMI,KALAMBAYI KABANGA
MANIEMA,TUNDA
HAUT KATANGA,MITWABA
TSHUAPA,IKELA
NORD KIVU,BENI
TSHOPO,TSHOPO
SUD KIVU,RUZIZI
KINSHASA,KALAMU 2
KONGO CENTRAL,GOMBE MATADI
KASAI CENTRAL,BUNKONDE
HAUT LOMAMI,KINKONDJA
KINSHASA,BUMBU
TANGANYIKA,MOBA
KWANGO,KENGE
KINSHASA,KISENSO
HAUT KATANGA,MUMBUNDA
TSHUAPA,MONDOMBE
KONGO CENTRAL,KIMPESE
MANIEMA,FEREKENI
NORD KIVU,KIBUA
KONGO CENTRAL,NZANZA
ITURI,AUNGBA
HAUT KATANGA,KASHOBWE
HAUT UELE,WATSA
HAUT KATANGA,KAMALONDO
MAINDOMBE,OSHWE
KASAI ORIENTAL,BONZOLA
KINSHASA,MONT NGAFULA 1
TSHOPO,YALIMBONGO
KONGO CENTRAL,MBANZA NGUNGU
TSHOPO,OPALA
KASAI CENTRAL,LUIZA
TSHUAPA,BOKUNGU
HAUT KATANGA,KIKULA
SUD KIVU,NYANTENDE
SUD UBANGI,MBAYA
KASAI ORIENTAL,MUYA
EQUATEUR,BASANKUSU
KINSHASA,LEMBA
ITURI,ARIWARA
SANKURU,LODJA
KWANGO,KISANJI
MANIEMA,KAILO
KONGO CENTRAL,BOMA
KASAI CENTRAL,KATOKA
KWILU,MOSANGO
KWILU,KIKWIT NORD
LOMAMI,LUPUTA
EQUATEUR,MBANDAKA
KONGO CENTRAL,SONA BATA
HAUT UELE,FARADJE
TSHOPO,BENGAMISA
KASAI ORIENTAL,BIBANGA
MANIEMA,KABAMBARE
KASAI CENTRAL,DEMBA
NORD KIVU,LUBERO
EQUATEUR,INGENDE
KASAI ORIENTAL,DIBINDI
HAUT KATANGA,KAMBOVE
KASAI ORIENTAL,KANSELE
HAUT KATANGA,KOWE
KWILU,YASA BONGA
TSHUAPA,LINGOMO
KASAI ORIENTAL,KASANSA
KONGO CENTRAL,NGIDINGA
LUALABA,KANZENZE
LUALABA,DILALA
NORD KIVU,KYONDO
KINSHASA,KINTAMBO
ITURI,RETHY
SUD UBANGI,BOGOSENUBEA
TSHOPO,YAHISULI
KINSHASA,BIYELA
KASAI CENTRAL,NDESHA
KASAI CENTRAL,KANANGA
KONGO CENTRAL,BOMA BUNGU
HAUT LOMAMI,LWAMBA
MAINDOMBE,KIRI
NORD KIVU,ALIMBONGO
KASAI ORIENTAL,TSHISHIMBI
KINSHASA,BINZA OZONE
KWILU,IDIOFA
NORD KIVU,KIBIRIZI
KINSHASA,BARUMBU
SANKURU,BENA DIBELE
TSHOPO,BAFWASENDE
KASAI ORIENTAL,MUKUMBI
MAINDOMBE,BOLOBO
TSHUAPA,MONKOTO
MAINDOMBE,BOSOBE
MANIEMA,KALIMA
ITURI,MAMBASA
NORD KIVU,VUHOVI
MAINDOMBE,BANZOW MOKE
NORD KIVU,KALUNGUTA
EQUATEUR,LOTUMBE
LOMAMI,KABINDA
MONGALA,BOSO MONDANDA
NORD KIVU,MUTWANGA
HAUT KATANGA,KILWA
SUD UBANGI,ZONGO
KINSHASA,KOKOLO
KONGO CENTRAL,SEKE BANZA
KINSHASA,MALUKU 1
ITURI,LOLWA
BAS UELE,MONGA
NORD KIVU,BUTEMBO
KINSHASA,SELEMBAO
SANKURU,WEMBO NYAMA
KASAI CENTRAL,LUBONDAIE
NORD UBANGI,MOBAYI MBONGO
TANGANYIKA,NYEMBA
NORD UBANGI,ABUZI
KINSHASA,MONT NGAFULA 2
SANKURU,PANIA MUTOMBO
ITURI,LOGO
KASAI ORIENTAL,NZABA
KASAI CENTRAL,MIKALAYI
TSHOPO,KABONDO
HAUT UELE,PAWA
MAINDOMBE,MUSHIE
HAUT KATANGA,KENYA
SANKURU,TSHUMBE
NORD KIVU,MASEREKA
TSHOPO,LUBUNGA
TANGANYIKA,KIAMBI
LUALABA,MUTSHATSHA
KASAI ORIENTAL,LUKELENGE
KASAI CENTRAL,TSHIKULA
TANGANYIKA,KABALO
KINSHASA,KINSHASA
KWANGO,PANZI
MONGALA,YAMONGILI
LOMAMI,KAMIJI
MONGALA,BINGA
SUD UBANGI,BOKONZI
MONGALA,LOLO
EQUATEUR,NTONDO
SUD UBANGI,BANGABOLA
HAUT KATANGA,LIKASI
TSHOPO,LOWA
TSHOPO,MAKISO KISANGANI
KINSHASA,KALAMU 1
HAUT KATANGA,KIPUSHI
KWANGO,POPOKABAKA
SUD KIVU,FIZI
NORD KIVU,BIRAMBIZO
HAUT KATANGA,RUASHI
ITURI,KAMBALA
HAUT LOMAMI,BAKA
SUD KIVU,IBANDA
EQUATEUR,LILANGA BOBANGI
BAS UELE,TITULE
NORD KIVU,BIENA
LOMAMI,KALENDA
MANIEMA,KASONGO
NORD UBANGI,GBADOLITE
HAUT LOMAMI,SONGA
EQUATEUR,IBOKO
TSHUAPA,BEFALE
NORD UBANGI,BUSINGA
MONGALA,BUMBA
HAUT LOMAMI,KAYAMBA
KWILU,MUNGINDU
TSHOPO,YABAONDO
KASAI ORIENTAL,MIABI
SANKURU,LOMELA
HAUT KATANGA,PANDA
KWANGO,WAMBA LWADI
HAUT KATANGA,VANGU
KASAI CENTRAL,TSHIBALA
NORD KIVU,MWESO
TANGANYIKA,MANONO
EQUATEUR,WANGATA
KASAI,NYANGA
TANGANYIKA,KALEMIE
KWILU,MASI MANIMBA
MANIEMA,KUNDA
TSHUAPA,YALIFAFU
LOMAMI,TSHOFA
HAUT UELE,ISIRO
KASAI ORIENTAL,DIULU
BAS UELE,LIKATI
KWANGO,KAJIJI
KASAI CENTRAL,KATENDE
HAUT KATANGA,SAKANIA
KASAI ORIENTAL,LUBILANJI
SUD KIVU,BAGIRA
KINSHASA,GOMBE
NORD UBANGI,KARAWA
NORD KIVU,KIROTSHE
ITURI,RIMBA
ITURI,BOGA
KWILU,MOANZA
KINSHASA,NSELE
SUD UBANGI,LIBENGE
KINSHASA,MASINA 2
ITURI,DRODRO
KONGO CENTRAL,MANGEMBO
KINSHASA,NGABA
LUALABA,KAPANGA
NORD KIVU,OICHA
KASAI,NDJOKO MPUNDA
HAUT LOMAMI,KABONDO DIANDA
HAUT UELE,GOMBARI
LUALABA,LUALABA
NORD UBANGI,WASOLO
BAS UELE,POKO
KASAI ORIENTAL,CITENGE
EQUATEUR,LUKOLELA
MAINDOMBE,PENDJWA
LUALABA,FUNGURUME
KONGO CENTRAL,KISANTU
ITURI,ANGUMU
HAUT KATANGA,PWETO
KONGO CENTRAL,KUIMBA
KASAI,MIKOPE
KINSHASA,MATETE
NORD KIVU,KAYNA
MAINDOMBE,BOKORO
KINSHASA,LIMETE
ITURI,NYANKUNDE
LOMAMI,KAMANA
HAUT LOMAMI,KABONGO
BAS UELE,AKETI
TSHOPO,ISANGI
SUD KIVU,LEMERA
KASAI,BULAPE
SANKURU,LUSAMBO
ITURI,ADI
SUD KIVU,MITI MURHESA
SANKURU,MINGA
SUD UBANGI,BULU
BAS UELE,VIADANA
EQUATEUR,MAMPOKO
KASAI CENTRAL,NDEKESHA
SUD KIVU,MINOVA
KWILU,KIMPUTU
TANGANYIKA,KONGOLO
SUD KIVU,KADUTU
SUD UBANGI,BOMINENGE
SUD UBANGI,BWAMANDA
HAUT UELE,WAMBA
HAUT KATANGA,KASENGA
TSHOPO,YAHUMA
ITURI,BAMBU
KASAI ORIENTAL,BIPEMBA
KINSHASA,MAKALA
HAUT KATANGA,KILELA BALANDA
SUD KIVU,WALUNGU
ITURI,BUNIA
SUD UBANGI,BOTO
KONGO CENTRAL,MASSA
HAUT UELE,DUNGU
HAUT LOMAMI,KINDA
HAUT LOMAMI,MUKANGA
ITURI,ADJA
HAUT UELE,DORUMA
KINSHASA,BINZA METEO
ITURI,LAYBO
MANIEMA,SARAMABILA
KASAI,KALONDA OUEST
HAUT KATANGA,KAMPEMBA
LUALABA,BUNKEYA
ITURI,LITA
NORD KIVU,RUTSHURU
KINSHASA,NGIRI NGIRI
EQUATEUR,MAKANZA
EQUATEUR,BOLENGE
KONGO CENTRAL,NSELO
ITURI,ARU
SUD UBANGI,TANDALA
KWANGO,FESHI
SANKURU,DJALO NDJEKA
TANGANYIKA,KANSIMBA
EQUATEUR,BIKORO
MANIEMA,KIBOMBO
HAUT LOMAMI,MULONGO
KASAI CENTRAL,KALOMBA
SUD KIVU,NUNDU
MANIEMA,ALUNGULI
NORD UBANGI,YAKOMA
MAINDOMBE,KWAMOUTH
MONGALA,YAMBUKU
KASAI CENTRAL,DIBAYA
KWANGO,KIMBAO
KASAI CENTRAL,YANGALA
ITURI,NIA NIA
HAUT LOMAMI,KAMINA
SANKURU,OTOTO
KWILU,GUNGU
HAUT UELE,MAKORO
KASAI ORIENTAL,MPOKOLO
HAUT UELE,NIANGARA
MONGALA,BOSO MANZI
NORD KIVU,KATWA
KASAI CENTRAL,LUAMBO
TSHUAPA,BUSANGA
KASAI ORIENTAL,KABEYA KAMWANGA
