level_2_name,level_3_name,level_4_name,level_5_name,level_2_example_attr,level_3_another_attr
KONGO CENTRAL,BOMA BUNGU,KIPHUNGU,KM8 CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,DJALO NDJEKA,EKANGA,EKANGA CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,NZABA,TARMAC 1,SAGESSE CENTRE DE SANTE,example,another_example
TANGANYIKA,KABALO,KIHANGA,KIHANGA CENTRE DE SANTE,example,another_example
KASAI,KAMWESHA,MAYI MUNENE,MAYI MUNENE CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,WEMBO NYAMA,LOMEMBE,LOMEMBE CENTRE DE SANTE,example,another_example
KONGO CENTRAL,MBANZA NGUNGU,CHRIST ROI,CHRIST ROI CENTRE DE SANTE DE REFERENCE,example,another_example
KINSHASA,LEMBA,MBANZA LEMBA,BON BERGER CENTRE HOSPITALIER,example,another_example
LOMAMI,KABINDA,LUALABA,LUALABA CENTRE DE SANTE,example,another_example
LUALABA,KAFAKUMBA,SAPESA,SAPESA CENTRE DE SANTE,example,another_example
NORD KIVU,KIROTSHE,KATOVU,KATOVU CENTRE DE SANTE,example,another_example
SANKURU,WEMBO NYAMA,DIKOKA,DIKOKA CENTRE DE SANTE,example,another_example
KASAI,NDJOKO MPUNDA,NDJOKO CATHOLIQUE,ESPOIR CENTRE DE SANTE,example,another_example
KINSHASA,KASA VUBU,KATANGA,STE MARIE CENTRE DE SANTE,example,another_example
NORD KIVU,KIBUA,LUBONGA,LUBONGA CENTRE DE SANTE,example,another_example
MAINDOMBE,BOSOBE,CAMP LEMBA,CAMP LEMBA CENTRE DE SANTE,example,another_example
TANGANYIKA,MANONO,TWITE,TWITE CENTRE DE SANTE,example,another_example
TANGANYIKA,KIAMBI,SHAMWANA,SHAMWANA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,SONA BATA,SONA BATA,MERE ET ENFANT CENTRE DE SANTE,example,another_example
MONGALA,BONGANDANGA,BONGANDANGA,BONGANDANGA CENTRE DE SANTE,example,another_example
NORD KIVU,MASEREKA,MAGHERIA,MAGHERIA CENTRE DE SANTE DE REFERENCE,example,another_example
TSHUAPA,BOENDE,BOLEMBA,BOLEMBA CENTRE DE SANTE DE REFERENCE,example,another_example
BAS UELE,MONGA,MENGI,MENGI CENTRE DE SANTE,example,another_example
MONGALA,YAMONGILI,COOPAPPY,COOPAPPI CENTRE DE SANTE,example,another_example
MANIEMA,KIBOMBO,NGANZE,NGANZE CENTRE DE SANTE,example,another_example
LOMAMI,MULUMBA,RELAIS MPUMBUA,RELAIS MPUMBUA CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,BONZOLA,CAMP NYONGOLO PNC,NYONGOLOLO PNC CENTRE DE SANTE,example,another_example
KASAI CENTRAL,LUAMBO,NDOLO MAYIMBU,NDOLO MAYIMBU CENTRE DE SANTE,example,another_example
KASAI,MWEKA,BANONGO,BANONGO CENTRE DE SANTE,example,another_example
KASAI,DEKESE,IPOKA,IPOKA CENTRE DE SANTE,example,another_example
KASAI,ILEBO,MAKANDA,DIFFERENCE POSTE DE SANTE,example,another_example
HAUT LOMAMI,KAMINA,KYABUKWA,KYABUKWA CENTRE DE SANTE,example,another_example
TSHUAPA,BOENDE,IMBO,IMBO CENTRE DE SANTE,example,another_example
LOMAMI,KALENDA,MULUNDU,MULUNDU CENTRE DE SANTE,example,another_example
TANGANYIKA,KANSIMBA,KAMPELA,KAMPELA CENTRE DE SANTE,example,another_example
SUD UBANGI,BOKONZI,LIZINGA,LINZINGA CENTRE DE SANTE,example,another_example
HAUT KATANGA,KASENGA,SAPWE,SAPWE CENTRE DE SANTE,example,another_example
KWILU,LUSANGA,IMBONGO,IMBONGO LUWALA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,MBANZA NGUNGU,MILITAIRE,EBEYA HOPITAL MILITAIRE,example,another_example
EQUATEURS,BOMONGO,MOKOLO,MOKOLO CENTRE DE SANTE,example,another_example
SUD UBANGI,BWAMANDA,BOTELA,BOTELA CENTRE DE SANTE,example,another_example
TANGANYIKA,MANONO,SAMBO,SAMBO CENTRE DE SANTE,example,another_example
KINSHASA,KINGASANI,ATANDELE,BOBOTO CENTRE DE SANTE,example,another_example
KINSHASA,KIMBANSEKE,KIMFUTA,IDEA CENTRE DE SANTE,example,another_example
MONGALA,BUMBA,BOPOTO,BOPOTO CENTRE DE SANTE,example,another_example
KASAI,KAMONIA,KATOPA,KATOPACENTRE DE SANTE,example,another_example
LUALABA,KAPANGA,NTITA,NTITA CENTRE DE SANTE DE REFERENCE,example,another_example
KINSHASA,MONT NGAFULA 2,MAMA MOBUTU,CANESCO CENTRE DE SANTE,example,another_example
HAUT UELE,FARADJE,OBI,OBI CENTRE DE SANTE,example,another_example
TSHOPO,WANIERUKULA,UMA,UMA CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KAMINA,KIBULA,KIBULA CENTRE DE SANTE DE REFERENCE,example,another_example
MONGALA,YAMBUKU,BONGELENZA,BONGELENZA CENTRE DE SANTE,example,another_example
HAUT KATANGA,VANGU,VANGU,VANGU HOPITAL GENERAL DE REFERENCE,example,another_example
MONGALA,YAMALUKA,YAENGOMBA,YAENGOMBA CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAMPEMBA,ST ABRAHAM,MAISHA CENTRE DE SANTE,example,another_example
TSHOPO,OPIENGE,NDREKOKO,NDREKOKO CENTRE DE SANTE,example,another_example
KONGO CENTRAL,TSHELA,NGANDA TSUNDI,NGANDA TSUNDI CENTRE DE SANTE,example,another_example
LUALABA,MUTSHATSHA,TSHIPAYA,TSHIPAYA CENTRE DE SANTE,example,another_example
KINSHASA,MASINA 1,EFOLOKO,MATERNITE PILOTE CENTRE DE SANTE,example,another_example
TANGANYIKA,KALEMIE,TEMBWE,TEMBWE CENTRE DE SANTE,example,another_example
HAUT KATANGA,KIPUSHI,SAINTE FAMILLE,SAINTE FAMILLE CENTRE DE SANTE,example,another_example
KASAI CENTRAL,NDEKESHA,TSHIAMU,TSHIAMU CENTRE DE SANTE,example,another_example
NORD KIVU,WALIKALE,MPOFI,MPOFI CENTRE DE SANTE,example,another_example
HAUT KATANGA,KISANGA,WANTANSHI 2,RINELLA CENTRE DE SANTE,example,another_example
MANIEMA,KASONGO,LIMANGA,LIMANGA CENTRE DE SANTE,example,another_example
LUALABA,MANIKA,POLY. MODERNE,MUTIYA NGAZI CENTRE DE SANTE,example,another_example
TSHOPO,YABAONDO,LOGOGE,LOGOGE CENTRE DE SANTE,example,another_example
NORD UBANGI,GBADOLITE,BUSE,BUSE CENTRE DE SANTE,example,another_example
HAUT UELE,WATSA,ARUMBI,ARUMBI CENTRE DE SANTE,example,another_example
LUALABA,KASAJI,DIVUMA SITE,DIVUMA SITE CENTRE DE SANTE,example,another_example
KINSHASA,KIMBANSEKE,KUTU,KIMBANGUISTE MISSION CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KISANTU,NGEBA,NGEBA 1 CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,LUSAMBO,LUKENGU,LUKENGU CENTRE DE SANTE,example,another_example
HAUT UELE,WATSA,MONAMA,WATSA HOPITAL GENERAL DE REFERENCE,example,another_example
KASAI ORIENTAL,BIPEMBA,TATU KANYINDA,BEL AIR CENTRE DE SANTE,example,another_example
HAUT UELE,BOMA MANGBETU,LEGU,LEGU CENTRE DE SANTE,example,another_example
SUD UBANGI,BOMINENGE,BOGBAGUMA,BOGBAGUMA CENTRE DE SANTE,example,another_example
TSHOPO,YABAONDO,IFULU,IFULU CENTRE DE SANTE,example,another_example
LUALABA,KASAJI,LUEU,LUEU CENTRE DE SANTE DE REFERENCE,example,another_example
TSHUAPA,MONDOMBE,YANYANGOMBULA 2,YANYANGO CENTRE DE SANTE,example,another_example
KINSHASA,KALAMU 1,MATONGE 1,JEHOVAH RAPHA CENTRE DE SANTE,example,another_example
MANIEMA,KASONGO,UZURA,UZURA CENTRE DE SANTE,example,another_example
HAUT KATANGA,KILELA BALANDA,KALUWE,KALUWE CENTRE DE SANTE,example,another_example
KASAI,ILEBO,SNCC,SNCC HOPITAL SECONDAIRE,example,another_example
HAUT KATANGA,SAKANIA,KATALA,KATALA CENTRE DE SANTE,example,another_example
MAINDOMBE,BOKORO,SEMENDWA CEBU,SEMENDWA CEBU CENTRE DE SANTE,example,another_example
ITURI,BAMBU,BANANA,BANANA CENTRE DE SANTE,example,another_example
ITURI,AUNGBA,LUMA,LUMA CENTRE DE SANTE DE REFERENCE,example,another_example
HAUT LOMAMI,MULONGO,MULONGO 2,MULONGO 2 CENTRE DE SANTE,example,another_example
MONGALA,BINGA,BONGILI,BONGILI CENTRE DE SANTE,example,another_example
TSHOPO,BENGAMISA,BOBITI,BOBITI CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KABONGO,KIME,KIME CENTRE DE SANTE,example,another_example
TSHOPO,YALIMBONGO,YAMASELA,YAMASELA CENTRE DE SANTE,example,another_example
KASAI,NDJOKO MPUNDA,MUKUADJANGA,BUETU BONSO POSTE DE SANTE,example,another_example
BAS UELE,TITULE,MALINGWIA,MALINGWIA CENTRE DE SANTE,example,another_example
NORD KIVU,KIBIRIZI,NYANZALE,NYANZALE CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,LODJA,DIKOMBE,DIKOMBE CENTRE DE SANTE,example,another_example
MAINDOMBE,NTANDEMBELO,BOSAKO 1,MPENDA CENTRE DE SANTE,example,another_example
MANIEMA,KINDU,LUMBULUMBU,LUMBULUMBU CENTRE DE SANTE,example,another_example
MONGALA,YAMONGILI,YAHANGANI,YAHANGANI CENTRE DE SANTE,example,another_example
HAUT KATANGA,PWETO,KABILELE,KABILELE CENTRE DE SANTE,example,another_example
SANKURU,KOLE,NDJOKA,NDJOKA CENTRE DE SANTE,example,another_example
TSHOPO,YAHUMA,MOSITE ETAT,MOSITE ETAT CENTRE DE SANTE,example,another_example
