level_1_name,level_1_id,level_2_name,level_2_id,level_3_name,level_3_id,level_4_name,level_4_id,level_5_name,level_5_id
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KASULO,FDpYZc2nfm9,ALDAD CENTRE DE SANTE,DDhKgowY7J2
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,APEX CENTRE DE SANTE,w9oQ28AslIk
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,HGR MWANGEJI,xxqm0dbkegx,APM CENTRE DE SANTE,IWyS3lQw6Fm
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,BETHSAIDA,BU0Oe1h4VR6,APM CENTRE DE SANTE,ph1my3kT9eB
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MUTOSHI,j4XDKfj3HMn,AMEN CENTRE DE SANTE,Ap1hZriY9ZN
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,BOULANGER,cZo43SZZPkd,ANGE DE GRACE CENTRE DE SANTE,y4RISlYfaiD
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,SERADJA,ZgSXN4f8ZwV,ANGELA CLINIQUE,ZuKEOW9yS7A
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,SEP CONGO,u1ESQWWtCFn,ARCHE DE NOE CENTRE DE SANTE,Bvdrs0mBcsV
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,BARAKA CENTRE DE SANTE,RUSNJ9qb0I2
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,LWAMBA,WELPCXvcE0m,BENICIEL CENTRE DE SANTE,zYvossGh2kH
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,RVA,ugKffvSToJg,BETHESDA CENTRE DE SANTE,DQirSw7Irv9
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,BIG SERVICE CENTRE DE SANTE,QZDN4O5yeFl
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CAMP MASSARD,Xn4EKfVPZKF,BON BERGER CENTRE DE SANTE,XNRDOOWvuo5
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,BON BERGER CENTRE DE SANTE,aNmPzNkMEQY
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CONSOLATION,lZeVx3sXRt3,BON BERGER CENTRE DE SANTE,eKRNbuBe3yV
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,BON SAMARITAIN 1 CENTRE DE SANTE,ZNYszPXYDjk
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHALA 1,QVHdv0tSrtS,BUMI 2 CENTRE DE SANTE,BjdDxX6Fats
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CEBA,mJKbVMG4hkP,BENEDICTION CENTRE DE SANTE,Rm0epz9rjDI
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CEBA,mJKbVMG4hkP,CBEFAP CENTRE DE SANTE,MgXeyKGxOMO
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,MPALA,C0vQGRcoMSU,CALVARI CENTRE DE SANTE,SP6JFXzRG6m
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CAMP MASSARD,Xn4EKfVPZKF,CASTRIOME CENTRE DE SANTE,KjK9zMRJWzb
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MWANT A NGAND,nRZTlAV5dFr,CHANG POSTE DE SANTE,mFLSJhPHLmH
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MWAD A MUTEB,WNhFZyfhoi7,CHILAND POSTE DE SANTE,xUK4keFtnsh
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MURUNG,WicYloOCv3G,CHIYING II POSTE DE SANTE,xs9dizXtplQ
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,MPALA,C0vQGRcoMSU,CHRIST NOTRE VICTOIRE CENTRE DE SANTE,SFKrw6nrDKu
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,NOA,TXOItONqZzs,CHRIST SAUVEUR CENTRE DE SANTE,zQamYWRbCiC
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,SEP CONGO,u1ESQWWtCFn,CONSOLATION CENTRE DE SANTE,KhZVk0l9n6i
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,LWAMBA,WELPCXvcE0m,CORPS SAINT CENTRE DE SANTE,TZFK9qC4yqk
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,KAKANDA,L4v8STFRK7X,DELLIA CENTRE DE SANTE,r8Wg0QplUms
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,LUILU,xFrGx7XoUyr,DIEU MERCI CENTRE DE SANTE,SC5aEPu63MO
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,KANINA,xHdMBSiJMn7,DIEU D'ABRAHAM CENTRE DE SANTE,cXVSdTd4HhF
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KIZITO,SW5JvJ13QJM,DIMERCIA CENTRE DE SANTE,gPPoKgMh4Rq
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHAMUNDENDA 1,OK9lRfNwcD7,DIOCI CENTRE DE SANTE,xFGOg9393ZB
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,KAKANDA,L4v8STFRK7X,DONEL CENTRE DE SANTE,LjuuFu2K1Ac
